district_id,city_id,region_id,local_seq,name_ar,name_en,center_lat,center_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat
10100003028,3,1,28,المدينة الصناعية الثانية,2nd Industrial City,24.5451504,46.9088217,46.8496668,24.5026987,46.9465969,24.5860564
10100003029,3,1,29,حي العزيزية,Al Aziziyah Dist.,24.5963032,46.7760516,46.7373026,24.5613808,46.8088207,24.6123632
10100003030,3,1,30,حي المنصورة,Al Mansurah Dist.,24.6092112,46.7511257,46.7283183,24.5942758,46.7653964,24.6219912
10100003031,3,1,31,حي غبيرة,Ghobairah Dist.,24.6230006,46.7385768,46.7253697,24.6109021,46.7473852,24.6302006
10100003032,3,1,32,حي الفاروق,Al Farooq Dist.,24.6532625,46.7695203,46.7545487,24.6406196,46.7919736,24.6669147
10100003033,3,1,33,حي الفيصلية,Al Faisaliyah Dist.,24.6268467,46.7836193,46.7599987,24.6152504,46.8033664,24.6534972
10100003034,3,1,34,حي الخالدية,Al Khalidiyah Dist.,24.6210147,46.7547324,46.7391827,24.6123632,46.7674531,24.6342299
10100003035,3,1,35,حي الجزيرة,Al Jazeerah Dist.,24.6711124,46.7850545,46.7775708,24.6432646,46.8152771,24.6860798
10100003036,3,1,36,حي السعادة,Al Saadah Dist.,24.6959956,46.8434697,46.816747,24.6775996,46.8565094,24.7175828
10100003037,3,1,37,حي الناصرية,Al Nasiriyah Dist.,24.6488635,46.6845323,46.6699382,24.642845,46.6901229,24.6609085
10100003038,3,1,38,حي المناخ,Al Manakh Dist.,24.6141854,46.7985779,46.7653964,24.5874055,46.8483436,24.6304489
10100003039,3,1,39,حي الدفاع,Al Difaa Dist.,24.5850871,46.8355578,46.8088207,24.5735912,46.8560085,24.5984349
10100003040,3,1,40,حي النور,Al Noor Dist.,24.6185231,46.8168247,46.7970851,24.6117077,46.8349713,24.6518167
10100003041,3,1,41,حي الملك عبدالله,King Abdullah Dist.,24.7299621,46.7397549,46.7211159,24.7050481,46.7617496,24.7598204
10100003042,3,1,42,حي الواحة,Al Wahah Dist.,24.7377478,46.717342,46.7031057,24.729041,46.7257984,24.751867
10100003043,3,1,43,حي صلاح الدين,Salahuddin Dist.,24.7281738,46.6978404,46.6851746,24.7213248,46.7088626,24.7442428
10100003044,3,1,44,حي الملك عبدالعزيز,King Abdulaziz Dist.,24.7216671,46.729306,46.6928555,24.6924025,46.7465869,24.7495892
10100003045,3,1,45,حي الوزارات,Al Wizarat Dist.,24.6787432,46.7125078,46.7079874,24.6659057,46.7184613,24.6924025
10100003046,3,1,46,حي سكيرينة,Skirinah Dist.,24.6172558,46.7160957,46.7143165,24.6122821,46.7211756,24.6205113
10100003047,3,1,47,حي الربوة,Ar Rabwah Dist.,24.6886042,46.7544246,46.7314989,24.6730326,46.7775708,24.714498
10100003048,3,1,48,حي جرير,Jareer Dist.,24.675562,46.7476863,46.7408822,24.6661264,46.7603922,24.6883052
10100003049,3,1,49,حي المعذر,Al Mathar Dist.,24.6715209,46.6675109,46.6525386,24.65656,46.6849828,24.6755291
10100003050,3,1,50,حي الصالحية,As Salhiyah Dist.,24.6324958,46.733477,46.728806,24.6290822,46.7391827,24.6396528
10100003051,3,1,51,حي الملز,Al Malaz Dist.,24.6644795,46.7350012,46.7161527,24.6469029,46.7545487,24.6817731
10100003052,3,1,52,حي منفوحة,Manfuhah Dist.,24.593628,46.7286506,46.7195338,24.5879931,46.7373026,24.6109021
10100003053,3,1,53,حي عليشة,Olaishah Dist.,24.6299622,46.6856381,46.6752379,24.6252697,46.6929331,24.6414334
10100003054,3,1,54,حي النهضة,Al Nahdah Dist.,24.7604911,46.8198013,46.7902282,24.7399559,46.8413237,24.7811213
10100003055,3,1,55,حي الخليج,Al Khaleej Dist.,24.7777597,46.7953081,46.7764961,24.7567575,46.8294717,24.7967574
10100003056,3,1,56,حي الضباط,Al Dhubbat Dist.,24.6764362,46.7245572,46.718043,24.666434,46.7290642,24.6935688
10100003057,3,1,57,حي السويدي الغربي,West Suwaidi Dist.,24.5673062,46.627484,46.6050421,24.5602412,46.6444387,24.5886051
10100003058,3,1,58,حي ديراب,Dirab Dist.,24.5205193,46.6110359,46.5933497,24.4840678,46.645116,24.5378378
10100003059,3,1,59,حي احد,Ohod Dist.,24.4817742,46.636459,46.6147321,24.4721685,46.6552655,24.5076732
10100003060,3,1,60,حي نمار,Namar Dist.,24.5719734,46.6793048,46.6521186,24.5516434,46.705298,24.5862579
10100003061,3,1,61,حي الشفا,Al Shifa Dist.,24.5742146,46.7101572,46.674722,24.5440304,46.7224425,24.586145
10100003062,3,1,62,حي المحمدية,Al Muhammadiyah Dist.,24.7284057,46.6434431,46.6336679,24.7205099,46.6640339,24.7445465
10100003063,3,1,63,حي السليمانية,Al Sulaimaniyah Dist.,24.6982627,46.7053247,46.6819476,24.6754743,46.718043,24.7213194
10100003064,3,1,64,حي المروة,Al Marwah Dist.,24.5364322,46.6789772,46.6588125,24.5252053,46.6926671,24.556433
10100003065,3,1,65,حي عكاظ,Okaz Dist.,24.4978328,46.6713005,46.6363327,24.489065,46.6935022,24.5373037
10100003066,3,1,66,حي شبرا,Shubra Dist.,24.5769419,46.6714856,46.6416281,24.5611036,46.6944618,24.5965084
10100003067,3,1,67,حي الزهرة,Al Zahrah Dist.,24.579126,46.6498292,46.6302738,24.5649378,46.6612308,24.5923675
10100003068,3,1,68,حي صياح,Siyah Dist.,24.6064454,46.7016812,46.6955667,24.6018575,46.7070492,24.6142099
10100003069,3,1,69,حي سلطانة,Sultanah Dist.,24.6072098,46.6875975,46.6743654,24.5955254,46.6995302,24.6171995
10100003070,3,1,70,حي اليمامة,Al Yamamah Dist.,24.5932358,46.7166479,46.7068404,24.5850897,46.7249955,24.6072349
10100003071,3,1,71,حي البديعة,Al Badiah Dist.,24.6151733,46.6767382,46.6689589,24.6058984,46.6928294,24.6264618
10100003072,3,1,72,حي المصانع,Al Masani Dist.,24.5557877,46.7415355,46.7109024,24.5104512,46.7773124,24.5942758
